PARAMETRES: Model IC (interval confiança : 1), Algorisme greedy, Probabilitat: 0.9
Inici lectura graf...
Final lectura graf
Model IC. 
Executant algorisme: greedy
Probabilidad Medida del conjunto solución Intervalo de confianza
0.1 1 0
0.1 2 0
0.1 3 0
0.1 4 0
0.1 5 0.0001
0.1 6 0.0001
0.1 7 0.0002
0.1 8 0.0013
0.1 9 0.0952
0.1 10 1
0.11 1 0
0.11 2 0
0.11 3 0.0002
0.11 4 0.0002
0.11 5 0.0003
0.11 6 0.0003
0.11 7 0.0006
0.11 8 0.0023
0.11 9 0.1032
0.11 10 1
0.12 1 0
0.12 2 0
0.12 3 0.0002
0.12 4 0.0002
0.12 5 0.0004
0.12 6 0.0004
0.12 7 0.0008
0.12 8 0.003
0.12 9 0.1109
0.12 10 1
0.13 1 0
0.13 2 0
0.13 3 0.0002
0.13 4 0.0002
0.13 5 0.0004
0.13 6 0.0005
0.13 7 0.001
0.13 8 0.0041
0.13 9 0.1181
0.13 10 1
0.14 1 0
0.14 2 0
0.14 3 0.0002
0.14 4 0.0002
0.14 5 0.0004
0.14 6 0.0005
0.14 7 0.0011
0.14 8 0.0048
0.14 9 0.1239
0.14 10 1
0.15 1 0
0.15 2 0
0.15 3 0
0.15 4 0.0002
0.15 5 0.0003
0.15 6 0.0005
0.15 7 0.0012
0.15 8 0.0043
0.15 9 0.1249
0.15 10 1
0.16 1 0
0.16 2 0
0.16 3 0
0.16 4 0.0001
0.16 5 0.0002
0.16 6 0.0004
0.16 7 0.0011
0.16 8 0.0055
0.16 9 0.1321
0.16 10 1
0.17 1 0
0.17 2 0
0.17 3 0
0.17 4 0.0001
0.17 5 0.0003
0.17 6 0.0006
0.17 7 0.0016
0.17 8 0.008
0.17 9 0.1417
0.17 10 1
0.18 1 0
0.18 2 0
0.18 3 0
0.18 4 0.0001
0.18 5 0.0003
0.18 6 0.0011
0.18 7 0.0023
0.18 8 0.0099
0.18 9 0.1502
0.18 10 1
0.19 1 0
0.19 2 0
0.19 3 0
0.19 4 0.0003
0.19 5 0.0006
0.19 6 0.0015
0.19 7 0.0026
0.19 8 0.0116
0.19 9 0.1578
0.19 10 1
0.2 1 0
0.2 2 0
0.2 3 0.0001
0.2 4 0.0004
0.2 5 0.0008
0.2 6 0.0017
0.2 7 0.003
0.2 8 0.0141
0.2 9 0.1667
0.2 10 1
0.21 1 0
0.21 2 0
0.21 3 0.0006
0.21 4 0.0014
0.21 5 0.0023
0.21 6 0.003
0.21 7 0.0045
0.21 8 0.017
0.21 9 0.1753
0.21 10 1
0.22 1 0
0.22 2 0
0.22 3 0.0006
0.22 4 0.0016
0.22 5 0.0026
0.22 6 0.0039
0.22 7 0.0054
0.22 8 0.0196
0.22 9 0.1847
0.22 10 1
0.23 1 0
0.23 2 0
0.23 3 0.0005
0.23 4 0.0018
0.23 5 0.0029
0.23 6 0.0046
0.23 7 0.0065
0.23 8 0.0224
0.23 9 0.1926
0.23 10 1
0.24 1 0
0.24 2 0
0.24 3 0.0006
0.24 4 0.0021
0.24 5 0.0031
0.24 6 0.0052
0.24 7 0.0073
0.24 8 0.0252
0.24 9 0.2007
0.24 10 1
0.25 1 0
0.25 2 0
0.25 3 0.0007
0.25 4 0.0024
0.25 5 0.0035
0.25 6 0.0058
0.25 7 0.0083
0.25 8 0.0279
0.25 9 0.2095
0.25 10 1
0.26 1 0
0.26 2 0
0.26 3 0.0008
0.26 4 0.0029
0.26 5 0.0042
0.26 6 0.0067
0.26 7 0.0095
0.26 8 0.031
0.26 9 0.2194
0.26 10 1
0.27 1 0
0.27 2 0.0001
0.27 3 0.0017
0.27 4 0.006
0.27 5 0.0078
0.27 6 0.0112
0.27 7 0.0205
0.27 8 0.0764
0.27 9 0.2192
0.27 10 1
0.28 1 0.0004
0.28 2 0.0004
0.28 3 0.0021
0.28 4 0.0031
0.28 5 0.0053
0.28 6 0.0085
0.28 7 0.0123
0.28 8 0.0363
0.28 9 0.2416
0.28 10 1
0.29 1 0.0004
0.29 2 0.0004
0.29 3 0.0023
0.29 4 0.0037
0.29 5 0.0065
0.29 6 0.0102
0.29 7 0.0145
0.29 8 0.0421
0.29 9 0.2526
0.29 10 1
0.3 1 0.0007
0.3 2 0.0007
0.3 3 0.0029
0.3 4 0.0047
0.3 5 0.0078
0.3 6 0.0125
0.3 7 0.017
0.3 8 0.0463
0.3 9 0.2626
0.3 10 1
0.31 1 0.001
0.31 2 0.001
0.31 3 0.0034
0.31 4 0.0053
0.31 5 0.0088
0.31 6 0.0136
0.31 7 0.0184
0.31 8 0.0504
0.31 9 0.2693
0.31 10 1
0.32 1 0.0012
0.32 2 0.0012
0.32 3 0.0038
0.32 4 0.0066
0.32 5 0.0105
0.32 6 0.0157
0.32 7 0.0214
0.32 8 0.0563
0.32 9 0.277
0.32 10 1
0.33 1 0.0013
0.33 2 0.0013
0.33 3 0.0043
0.33 4 0.0077
0.33 5 0.0117
0.33 6 0.0177
0.33 7 0.0236
0.33 8 0.0615
0.33 9 0.2861
0.33 10 1
0.34 1 0.0015
0.34 2 0.0015
0.34 3 0.0042
0.34 4 0.0089
0.34 5 0.0139
0.34 6 0.0207
0.34 7 0.0285
0.34 8 0.067
0.34 9 0.2864
0.34 10 1
0.35 1 0.0022
0.35 2 0.0022
0.35 3 0.0052
0.35 4 0.011
0.35 5 0.0158
0.35 6 0.0236
0.35 7 0.0317
0.35 8 0.0727
0.35 9 0.2957
0.35 10 1
0.36 1 0.0031
0.36 2 0.0031
0.36 3 0.0064
0.36 4 0.0129
0.36 5 0.0181
0.36 6 0.0263
0.36 7 0.0348
0.36 8 0.0779
0.36 9 0.3079
0.36 10 1
0.37 1 0.0037
0.37 2 0.0037
0.37 3 0.0074
0.37 4 0.0145
0.37 5 0.0208
0.37 6 0.0291
0.37 7 0.0382
0.37 8 0.0851
0.37 9 0.3194
0.37 10 1
0.38 1 0.0045
0.38 2 0.0045
0.38 3 0.0077
0.38 4 0.0159
0.38 5 0.0235
0.38 6 0.0326
0.38 7 0.0423
0.38 8 0.0923
0.38 9 0.3326
0.38 10 1
0.39 1 0.0057
0.39 2 0.0057
0.39 3 0.0095
0.39 4 0.0191
0.39 5 0.0279
0.39 6 0.037
0.39 7 0.0471
0.39 8 0.1001
0.39 9 0.3438
0.39 10 1
0.4 1 0.0071
0.4 2 0.0071
0.4 3 0.011
0.4 4 0.0202
0.4 5 0.027
0.4 6 0.0383
0.4 7 0.0491
0.4 8 0.1153
0.4 9 0.3622
0.4 10 1
0.41 1 0.0082
0.41 2 0.0082
0.41 3 0.0122
0.41 4 0.0222
0.41 5 0.0302
0.41 6 0.0426
0.41 7 0.054
0.41 8 0.1223
0.41 9 0.3719
0.41 10 1
0.42 1 0.0106
0.42 2 0.0106
0.42 3 0.0147
0.42 4 0.0255
0.42 5 0.0347
